Column;Used;Null Rate; dtype; Unique values; values
DESC_EQUIPO;;78.01;object;2;"LO    100582
IT     75005
Name: DESC_EQUIPO, dtype: int64"
FECHA_INSTAL_EQUIPO;;78.01;object;31;"7/    6334
27    6320
13    6181
4/    6169
12    6137
23    6131
16    6089
11    6040
19    6027
5/    5982
Name: FECHA_INSTAL_EQUIPO, dtype: int64"
MARCA_SIMPLIFICADA;X;3.54;object;212;"FORD          133744
VOLKSWAGEN    112942
RENAULT       111345
CHEVROLET      93367
PEUGEOT        74021
FIAT           72377
TOYOTA         56867
CITROEN        28332
HONDA          20350
NISSAN         11661
Name: MARCA_SIMPLIFICADA, dtype: int64"
MODELO;X;3.54;object;1515;"KA           29874
FIESTA       28693
ECOSPORT     27078
PALIO        26517
CLIO         23985
SANDERO      23734
GOL TREND    21677
GOL          21662
FOCUS        20615
ETIOS        18352
Name: MODELO, dtype: int64"
GRUPO_COMBUSTIBLE;X;3.6;float64;8;"[0.0;7.0]"
SCORE_PLAN;X;44.28;object;7;"MALTO    183796
MEDIO    135664
ALTO      78237
BAJO      20337
MBAJO     12072
MMBAJ     10233
BBAJO      4591
Name: SCORE_PLAN, dtype: int64"
USR_ULT_ACT;;0.0;object;1;"DATAMART    798517
Name: USR_ULT_ACT, dtype: int64"
F_ULT_ACT;X;0.0;object;608;"8/6/2019 19:28:17    5017
8/6/2019 19:25:07    4985
8/6/2019 19:26:42    4907
8/6/2019 19:27:46    4878
8/6/2019 19:25:39    4851
8/6/2019 19:27:14    4747
8/6/2019 19:27:45    4713
8/6/2019 19:25:13    4674
8/6/2019 19:27:13    4662
8/6/2019 19:27:15    4647
Name: F_ULT_ACT, dtype: int64"
USR_CARGA;;0.0;object;1;"DATAMART    798517
Name: USR_CARGA, dtype: int64"
F_CARGA;;0.0;object;1;"8/6/2019 09:00:04    798517
Name: F_CARGA, dtype: int64"
FLAG_ROBO_CONTENIDO;X;0.0;object;2;"N    725151
S     73366
Name: FLAG_ROBO_CONTENIDO, dtype: int64"
FLAG_EBILLING;X;0.0;object;2;"S    458053
N    340464
Name: FLAG_EBILLING, dtype: int64"
VENC_PRENDA;;72.78;object;1997;"1/1/2010    95682
1/2/2023      735
1/3/2023      716
1/1/2023      712
1/4/2023      676
1/7/2023      662
1/9/2022      661
1/8/2023      639
1/6/2023      610
1/8/2022      602
Name: VENC_PRENDA, dtype: int64"
ANTIG_MESES;X;0.06;float64;292;"[0.0;291.0]"
FLAG_COBERTURA_309;;0.0;object;1;"N    798517
Name: FLAG_COBERTURA_309, dtype: int64"
NEGOCIO;X;0.91;object;65;"DEF     504115
PP      174419
PRES     39278
TIE1      9313
M10       7838
EMP       5470
AMV1      4328
AMV2      3859
M15       3832
BBVP      3686
Name: NEGOCIO, dtype: int64"
PROB_BAJA_1MES;;100.0;float64;0;"[nan;nan]"
PROB_BAJA_3MESES;X;4.99;float64;157;"[0.0;1.0]"
PROB_BAJA_6MESES;;100.0;float64;0;"[nan;nan]"
MCA_BAJA;;100.0;float64;0;"[nan;nan]"
